filename,rank,rank_n,time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
126_7932120e36c65fce.jpg,1289.666667,0.107055556,5.551,126_9db221fe004eac4f.jpg,256_9192ec937357e59c0e9e6028ac2f5eb2.jpg,97_a3008758b0857e9b.jpg,223_3b44bdcad9d91023a6beda9cd6294730.jpg,256_a52ad6fa28155553f735e60456130f52.jpg,151_8dea79e9aa68d0d8.jpg,245_6db4cf0486aa1456e236cb383fc9f649.jpg,240_962fa1ac0aad343970a3148553d05a18.jpg,246_1bdbe0edca19d928547e7541721f583c.jpg,258_dd3d9695f6cb63076709986b18c2fdf1.jpg
634_080.jpg,5870.333333,0.488777778,5.367,240_962fa1ac0aad343970a3148553d05a18.jpg,246_2c0ee081194477d0745c3e2e603f48d7.jpg,282_1efe673335f55ea129cbf82d9daefe1d.jpg,209_1526031b22193aaacb35a8e75cbef25d.jpg,260_fcac8623bf677ee737ecaa0d07525a9c.jpg,441_sketch_0.JPEG,253_90d3a68ed91ddae941539a99a3d527da.jpg,336_d88051b445c1f4df40457c53f3438ae0.jpg,615_002.jpg,282_0298a0520769cf3d7c43f0fc15ad52e6.jpg
274_264f72a86d3ccc9440a00867e0920286.jpg,5184.444444,0.43162037,5.36,258_aede3f86a8c4bcabc909529e75a5af0f.jpg,240_174fdd26bdae25782a396def9ce7f91f.jpg,32_b83af5765d18fbc2.jpg,256_ccde110c3f48efd761200d6f6fc172d0.jpg,16_8537de78868a1dea.jpg,104_80240d9e47660900.jpg,258_65eb105c47394339a2dd6f87ba4e441b.jpg,282_d0938c3293137597de4e19ac07dea715.jpg,233_146da436a66e445f474a6b11bc6b31f1.jpg,285_937ca7b0f47c79dba675de10c4949569.jpg
359_b020c32a907e6cbd9f8ae351aaa3b6d5.jpg,2649.666667,0.220388889,5.511,251_a14c8117d085ff84c770c2d041a839e3.jpg,293_444744e1ee796636ffc3e44b738749b7.jpg,16_f8143a1bc567f2aa.jpg,792_095.jpg,256_ccde110c3f48efd761200d6f6fc172d0.jpg,240_791e58869e9d4229a4eda5621e228c91.jpg,247_2578a1f413d199ff0d22aa5ceb5d0220.jpg,799_023.jpg,16_8537de78868a1dea.jpg,342_7f9f44fcd92bdd7c7d0663bfc4b1af03.jpg
925_201177097329_4.JPG,2618,0.21775,5.327,174_8a7e3a2bafa5c3cf.jpg,240_174fdd26bdae25782a396def9ce7f91f.jpg,256_9192ec937357e59c0e9e6028ac2f5eb2.jpg,258_65eb105c47394339a2dd6f87ba4e441b.jpg,476_sketch_12.JPEG,282_0298a0520769cf3d7c43f0fc15ad52e6.jpg,240_962fa1ac0aad343970a3148553d05a18.jpg,336_d88051b445c1f4df40457c53f3438ae0.jpg,258_dd3d9695f6cb63076709986b18c2fdf1.jpg,256_fd4c0220da31da11e1417e53abce5ae7.jpg
232_0c66b837be8a34c1d1bbbe24213f073c.jpg,2908.777778,0.241981481,5.812,16_f8143a1bc567f2aa.jpg,445_sketch_29.JPEG,258_aede3f86a8c4bcabc909529e75a5af0f.jpg,16_14af7511607d34ab.jpg,240_791e58869e9d4229a4eda5621e228c91.jpg,223_51a45e675da8d118a48cdf691776dc1b.jpg,16_dd5459360821e706.jpg,240_9e21db680240523831bbb61f8599627a.jpg,211_cf12e62991a12990c01679fbb23e5df5.jpg,240_01b3841571bce544b500058ddd09a8b2.jpg
573_sketch_19.JPEG,7659.888889,0.637907407,5.309,429_sketch_26.JPEG,475_sketch_26.JPEG,441_sketch_6.JPEG,179_7713d9d5e551b576.jpg,254_0f35c40e7ced930e1c7e05099ed5d722.jpg,408_sketch_12.JPEG,258_b295cded14abfdc965496f8c666efc0a.jpg,597_sketch_26.JPEG,67_566256a5977625ed.jpg,126_9db221fe004eac4f.jpg
846_121719034322_0.JPG,1932.444444,0.16062037,5.334,515_sketch_31.JPEG,430_sketch_21.JPEG,435_sketch_12.JPEG,450_sketch_6.JPEG,440_sketch_0.JPEG,454_sketch_22.JPEG,464_sketch_0.JPEG,969_252044831389_7.JPG,846_121719034322_3.JPG,595_sketch_6.JPEG
143_1701f6abc51c5072.jpg,5140.444444,0.427953704,5.254,85_150c2d5877729b42.jpg,172_fcb6d9299b9309db.jpg,85_a74bb6dcf6f880d0.jpg,549_sketch_6.JPEG,610_067.jpg,17_64da0f31a9edd4da.jpg,732_034.jpg,240_57adbd07236fdb91387ba845a3a1849e.jpg,256_a52ad6fa28155553f735e60456130f52.jpg,258_65eb105c47394339a2dd6f87ba4e441b.jpg
275_7e4a08c6aab1c7bf9c23e3ad599c31e7.jpg,1585.222222,0.131685185,5.253,253_90d3a68ed91ddae941539a99a3d527da.jpg,259_242844d1c479889b52523068277557cb.jpg,260_ea074d1e7d2ece796f2988ef3a5c1725.jpg,256_bc59bf91de48d82eaac98e652d6ce8e4.jpg,258_5eebdfa60eb28f44b50b9045240ffe87.jpg,260_bf109f867fa69ce65e234e51f62b426e.jpg,336_d88051b445c1f4df40457c53f3438ae0.jpg,282_0298a0520769cf3d7c43f0fc15ad52e6.jpg,249_8be528092a8aa40551f12a74a3593bab.jpg,281_68ae843afe56f11ce5393da3ecced4c3.jpg
